iter	Passed	Remaining
411	3239	4622
412	3243	4609
413	3247	4596
414	3251	4583
415	3255	4569
416	3258	4556
417	3262	4542
418	3266	4528
419	3269	4515
420	3273	4502
421	3276	4488
422	3280	4474
423	3284	4461
424	3288	4449
425	3292	4435
426	3296	4423
427	3300	4410
428	3305	4399
429	3309	4386
430	3312	4373
431	3316	4360
432	3320	4347
433	3323	4334
434	3326	4321
435	3329	4307
436	3334	4295
437	3337	4282
438	3342	4270
439	3345	4258
440	3349	4245
441	3352	4232
442	3356	4220
443	3359	4207
444	3363	4195
445	3367	4183
446	3372	4172
447	3376	4159
448	3379	4147
449	3382	4134
450	3387	4123
451	3391	4111
452	3395	4100
453	3399	4088
454	3403	4076
455	3408	4065
456	3411	4053
457	3415	4041
458	3418	4029
459	3422	4017
460	3426	4005
461	3429	3994
462	3433	3982
463	3436	3969
464	3439	3957
465	3444	3947
466	3447	3934
467	3451	3923
468	3454	3911
469	3459	3901
470	3464	3891
471	3468	3879
472	3471	3868
473	3475	3856
474	3479	3845
475	3483	3834
476	3486	3822
477	3490	3812
478	3494	3800
479	3497	3788
480	3500	3777
481	3503	3765
482	3507	3754
483	3510	3742
484	3514	3731
485	3517	3720
486	3521	3709
487	3524	3698
488	3528	3687
489	3532	3676
490	3535	3665
491	3539	3654
492	3542	3643
493	3546	3632
494	3549	3621
495	3553	3610
496	3557	3599
497	3560	3588
498	3563	3577
499	3566	3566
500	3570	3555
501	3573	3545
502	3577	3534
503	3580	3523
504	3584	3513
505	3587	3502
506	3590	3491
507	3593	3480
508	3596	3469
509	3600	3459
510	3603	3448
511	3606	3437
512	3610	3427
513	3613	3416
514	3617	3406
515	3620	3395
516	3623	3385
517	3626	3374
518	3630	3364
519	3633	3353
520	3636	3343
521	3639	3333
522	3643	3322
523	3646	3312
524	3649	3302
525	3652	3291
526	3656	3281
527	3659	3271
528	3663	3261
529	3666	3251
530	3669	3241
531	3672	3231
532	3677	3221
533	3680	3211
534	3683	3201
535	3687	3191
536	3690	3182
537	3693	3172
538	3697	3162
539	3700	3152
540	3703	3142
541	3707	3132
542	3710	3123
543	3714	3113
544	3717	3103
545	3720	3093
546	3724	3084
547	3727	3074
548	3731	3065
549	3734	3055
550	3738	3046
551	3741	3036
552	3744	3026
553	3747	3017
554	3751	3008
555	3755	2999
556	3759	2989
557	3762	2980
558	3765	2970
559	3768	2961
560	3771	2951
561	3774	2941
562	3777	2932
563	3780	2922
564	3783	2913
565	3786	2903
566	3789	2894
567	3793	2885
568	3796	2875
569	3800	2866
570	3803	2857
571	3806	2848
572	3809	2839
573	3813	2830
574	3816	2821
575	3820	2811
576	3823	2802
577	3826	2793
578	3829	2784
579	3832	2775
580	3835	2766
581	3838	2757
582	3842	2748
583	3845	2739
584	3848	2730
585	3851	2721
586	3854	2712
587	3857	2703
588	3860	2694
589	3864	2685
590	3867	2676
591	3870	2667
592	3874	2659
593	3877	2650
594	3880	2641
595	3883	2632
596	3886	2623
597	3890	2615
598	3893	2606
599	3897	2598
600	3900	2589
601	3903	2580
602	3906	2571
603	3909	2563
604	3913	2554
605	3916	2546
606	3919	2537
607	3923	2529
608	3926	2520
609	3929	2512
610	3933	2504
611	3937	2496
612	3940	2487
613	3943	2478
614	3946	2470
615	3949	2462
616	3953	2453
617	3956	2445
618	3960	2437
619	3963	2429
620	3966	2420
